R0,amplitude,gamma,mu,sigma,rho,psi,S_0,E_0,I_0,R_0
0.29296875,0.37646484375,73.05,0.65478515625,45.66,0.72216796875,0.84228515625,0.082958984375,0.000031201171875,0.000092138671875,0.846826171875
100.29296875,0.87646484375,73.05,0.15478515625,45.66,0.22216796875,0.34228515625,0.032958984375,0.000081201171875,0.000042138671875,0.396826171875
150.29296875,0.12646484375,73.05,0.90478515625,45.66,0.97216796875,0.09228515625,0.057958984375,0.000006201171875000001,0.000017138671875,0.621826171875
50.29296875,0.62646484375,73.05,0.40478515625,45.66,0.47216796875,0.59228515625,0.007958984375,0.000056201171875000004,0.000067138671875,0.17182617187500002
75.29296875,0.00146484375,73.05,0.52978515625,45.66,0.34716796875,0.96728515625,0.045458984375000004,0.000043701171875000005,0.000004638671875,0.5093261718750001
175.29296875,0.50146484375,73.05,0.02978515625,45.66,0.84716796875,0.46728515625,0.095458984375,0.00009370117187500001,0.000054638671875,0.059326171875
125.29296875,0.25146484375,73.05,0.77978515625,45.66,0.09716796875,0.21728515625,0.020458984375000003,0.000018701171875,0.000079638671875,0.734326171875
25.29296875,0.75146484375,73.05,0.27978515625,45.66,0.59716796875,0.71728515625,0.070458984375,0.00006870117187500001,0.000029638671875000002,0.28432617187500003
37.79296875,0.18896484375,73.05,0.09228515625,45.66,0.53466796875,0.77978515625,0.014208984375,0.000049951171875,0.000098388671875,0.228076171875
137.79296875,0.68896484375,73.05,0.59228515625,45.66,0.03466796875,0.27978515625,0.064208984375,0.00009995117187500001,0.000048388671875000004,0.678076171875
187.79296875,0.43896484375,73.05,0.34228515625,45.66,0.78466796875,0.02978515625,0.039208984375000006,0.000024951171875,0.000023388671875000002,0.003076171875
87.79296875,0.93896484375,73.05,0.84228515625,45.66,0.28466796875,0.52978515625,0.08920898437500001,0.000074951171875,0.00007338867187500001,0.453076171875
62.79296875,0.31396484375,73.05,0.21728515625,45.66,0.40966796875,0.90478515625,0.051708984375,0.000037451171875,0.000010888671875,0.11557617187500001
162.79296875,0.81396484375,73.05,0.71728515625,45.66,0.90966796875,0.40478515625,0.001708984375,0.000087451171875,0.000060888671875,0.565576171875
112.79296875,0.06396484375,73.05,0.46728515625,45.66,0.15966796875,0.15478515625,0.07670898437500001,0.000012451171875000001,0.000085888671875,0.340576171875
12.79296875,0.56396484375,73.05,0.96728515625,45.66,0.65966796875,0.65478515625,0.026708984375,0.000062451171875,0.000035888671875000005,0.7905761718750001
19.04296875,0.09521484375,73.05,0.81103515625,45.66,0.87841796875,0.37353515625,0.004833984375,0.000053076171875,0.000051513671875000005,0.537451171875
119.04296875,0.59521484375,73.05,0.31103515625,45.66,0.37841796875,0.87353515625,0.054833984375000006,0.000003076171875,0.0000015136718750000002,0.087451171875
169.04296875,0.34521484375,73.05,0.56103515625,45.66,0.62841796875,0.62353515625,0.029833984375,0.00007807617187500001,0.000026513671875,0.762451171875
69.04296875,0.84521484375,73.05,0.06103515625,45.66,0.12841796875,0.12353515625,0.079833984375,0.000028076171875,0.000076513671875,0.312451171875
94.04296875,0.47021484375,73.05,0.93603515625,45.66,0.00341796875,0.49853515625,0.067333984375,0.000065576171875,0.000039013671875,0.874951171875
194.04296875,0.97021484375,73.05,0.43603515625,45.66,0.50341796875,0.99853515625,0.017333984375,0.000015576171875000002,0.00008901367187500001,0.42495117187500003
144.04296875,0.22021484375,73.05,0.68603515625,45.66,0.25341796875,0.74853515625,0.09233398437500001,0.000090576171875,0.000064013671875,0.6499511718750001
44.04296875,0.72021484375,73.05,0.18603515625,45.66,0.75341796875,0.24853515625,0.042333984375,0.000040576171875000004,0.000014013671875,0.199951171875
31.54296875,0.28271484375,73.05,0.49853515625,45.66,0.81591796875,0.31103515625,0.098583984375,0.000071826171875,0.000057763671875,0.143701171875
131.54296875,0.78271484375,73.05,0.99853515625,45.66,0.31591796875,0.81103515625,0.048583984375,0.000021826171875000002,0.000007763671875,0.593701171875
181.54296875,0.03271484375,73.05,0.24853515625,45.66,0.56591796875,0.56103515625,0.07358398437500001,0.000096826171875,0.000032763671875,0.368701171875
81.54296875,0.53271484375,73.05,0.74853515625,45.66,0.06591796875,0.06103515625,0.023583984375000002,0.000046826171875,0.000082763671875,0.818701171875
56.54296875,0.15771484375,73.05,0.37353515625,45.66,0.19091796875,0.43603515625,0.036083984375,0.000059326171875000005,0.000045263671875,0.256201171875
156.54296875,0.65771484375,73.05,0.87353515625,45.66,0.69091796875,0.93603515625,0.086083984375,0.000009326171875000001,0.000095263671875,0.706201171875
106.54296875,0.40771484375,73.05,0.12353515625,45.66,0.44091796875,0.68603515625,0.011083984375000001,0.00008432617187500001,0.000070263671875,0.031201171875
6.54296875,0.90771484375,73.05,0.62353515625,45.66,0.94091796875,0.18603515625,0.061083984375000004,0.000034326171875,0.000020263671875,0.481201171875
9.66796875,0.14208984375,73.05,0.20166015625,45.66,0.11279296875,0.57666015625,0.047021484375000006,0.000085888671875,0.000090576171875,0.692138671875
109.66796875,0.64208984375,73.05,0.70166015625,45.66,0.61279296875,0.07666015625,0.09702148437500001,0.000035888671875000005,0.000040576171875000004,0.24213867187500002
159.66796875,0.39208984375,73.05,0.45166015625,45.66,0.36279296875,0.32666015625,0.022021484375,0.000060888671875,0.000015576171875000002,0.467138671875
59.66796875,0.89208984375,73.05,0.95166015625,45.66,0.86279296875,0.82666015625,0.072021484375,0.000010888671875,0.000065576171875,0.017138671875
84.66796875,0.26708984375,73.05,0.07666015625,45.66,0.98779296875,0.70166015625,0.08452148437500001,0.000098388671875,0.000003076171875,0.5796386718750001
184.66796875,0.76708984375,73.05,0.57666015625,45.66,0.48779296875,0.20166015625,0.034521484375,0.000048388671875000004,0.000053076171875,0.129638671875
134.66796875,0.01708984375,73.05,0.32666015625,45.66,0.73779296875,0.45166015625,0.059521484375,0.00007338867187500001,0.00007807617187500001,0.804638671875
34.66796875,0.51708984375,73.05,0.82666015625,45.66,0.23779296875,0.95166015625,0.009521484375,0.000023388671875000002,0.000028076171875,0.35463867187500003
47.16796875,0.45458984375,73.05,0.51416015625,45.66,0.17529296875,0.51416015625,0.053271484375000004,0.000092138671875,0.000096826171875,0.410888671875
147.16796875,0.95458984375,73.05,0.01416015625,45.66,0.67529296875,0.01416015625,0.003271484375,0.000042138671875,0.000046826171875,0.8608886718750001
197.16796875,0.20458984375,73.05,0.76416015625,45.66,0.42529296875,0.26416015625,0.078271484375,0.000067138671875,0.000021826171875000002,0.185888671875
97.16796875,0.70458984375,73.05,0.26416015625,45.66,0.92529296875,0.76416015625,0.028271484375000003,0.000017138671875,0.000071826171875,0.635888671875
72.16796875,0.07958984375,73.05,0.63916015625,45.66,0.80029296875,0.63916015625,0.015771484375000002,0.000079638671875,0.000009326171875000001,0.073388671875
172.16796875,0.57958984375,73.05,0.13916015625,45.66,0.30029296875,0.13916015625,0.06577148437500001,0.000029638671875000002,0.000059326171875000005,0.523388671875
122.16796875,0.32958984375,73.05,0.88916015625,45.66,0.55029296875,0.38916015625,0.040771484375,0.000054638671875,0.00008432617187500001,0.298388671875
22.16796875,0.82958984375,73.05,0.38916015625,45.66,0.05029296875,0.88916015625,0.090771484375,0.000004638671875,0.000034326171875,0.748388671875
15.91796875,0.36083984375,73.05,0.35791015625,45.66,0.26904296875,0.10791015625,0.062646484375,0.000007763671875,0.000056201171875000004,0.607763671875
115.91796875,0.86083984375,73.05,0.85791015625,45.66,0.76904296875,0.60791015625,0.012646484375000001,0.000057763671875,0.000006201171875000001,0.157763671875
165.91796875,0.11083984375,73.05,0.10791015625,45.66,0.01904296875,0.85791015625,0.087646484375,0.000032763671875,0.000031201171875,0.832763671875
65.91796875,0.61083984375,73.05,0.60791015625,45.66,0.51904296875,0.35791015625,0.037646484375000004,0.000082763671875,0.000081201171875,0.382763671875
90.91796875,0.23583984375,73.05,0.48291015625,45.66,0.64404296875,0.23291015625,0.00014648437500000002,0.000020263671875,0.000043701171875000005,0.7202636718750001
190.91796875,0.73583984375,73.05,0.98291015625,45.66,0.14404296875,0.73291015625,0.050146484375,0.000070263671875,0.00009370117187500001,0.270263671875
140.91796875,0.48583984375,73.05,0.23291015625,45.66,0.89404296875,0.98291015625,0.025146484375,0.000045263671875,0.00006870117187500001,0.49526367187500003
40.91796875,0.98583984375,73.05,0.73291015625,45.66,0.39404296875,0.48291015625,0.075146484375,0.000095263671875,0.000018701171875,0.045263671875
28.41796875,0.04833984375,73.05,0.92041015625,45.66,0.45654296875,0.04541015625,0.031396484375,0.000014013671875,0.000062451171875,0.101513671875
